training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xNG,US-xWR,-0.92,0.39,GRA,Cold,ENF,Cold
US-xNG,US-xYE,0.29,0.7,GRA,Cold,ENF,Cold
US-xNQ,US-xAB,-2.42,0.2,OSH,Arid,ENF,Temperate
US-xNQ,US-xAE,0.44,0.58,OSH,Arid,GRA,Temperate
US-xNQ,US-xBL,-1.92,0.41,OSH,Arid,DBF,Cold
US-xNQ,US-xBN,-2.12,0.06,OSH,Arid,ENF,Cold
US-xNQ,US-xBR,-0.84,0.42,OSH,Arid,DBF,Cold
US-xNQ,US-xCL,-1.19,0.36,OSH,Arid,GRA,Temperate
US-xNQ,US-xCP,0.35,0.42,OSH,Arid,GRA,Arid
US-xNQ,US-xDC,-0.58,0.58,OSH,Arid,GRA,Cold
US-xNQ,US-xDJ,-2.15,0.21,OSH,Arid,ENF,Cold
US-xNQ,US-xDL,-1.47,0.2,OSH,Arid,MF,Temperate
US-xNQ,US-xDS,-1.91,0.27,OSH,Arid,CVM,Temperate
US-xNQ,US-xGR,-1.34,0.36,OSH,Arid,DBF,Temperate
US-xNQ,US-xHA,-35.29,0.25,OSH,Arid,DBF,Cold
US-xNQ,US-xHE,-2.52,0.05,OSH,Arid,OSH,Cold
US-xNQ,US-xJE,-2.52,0.3,OSH,Arid,ENF,Temperate
US-xNQ,US-xJR,-15.32,0.04,OSH,Arid,OSH,Arid
US-xNQ,US-xKA,-0.09,0.41,OSH,Arid,GRA,Cold
US-xNQ,US-xKZ,-0.47,0.52,OSH,Arid,GRA,Cold
US-xNQ,US-xMB,-0.1,0.31,OSH,Arid,OSH,Arid
US-xNQ,US-xML,-1.3,0.23,OSH,Arid,DBF,Cold
US-xNQ,US-xNG,-0.89,0.49,OSH,Arid,GRA,Cold
US-xNQ,US-xNQ,0.86,0.86,OSH,Arid,OSH,Arid
US-xNQ,US-xNW,-3.06,0.04,OSH,Arid,ENF,Cold
US-xNQ,US-xRM,-2.08,0.28,OSH,Arid,ENF,Cold
US-xNQ,US-xRN,-1.62,0.22,OSH,Arid,DBF,Temperate
US-xNQ,US-xSB,-3.37,0.29,OSH,Arid,ENF,Temperate
US-xNQ,US-xSC,-1.61,0.48,OSH,Arid,DBF,Cold
US-xNQ,US-xSE,-1.7,0.31,OSH,Arid,DBF,Temperate
US-xNQ,US-xSJ,-1.28,0.06,OSH,Arid,SAV,Temperate
US-xNQ,US-xSL,0.57,0.58,OSH,Arid,CRO,Arid
US-xNQ,US-xSR,0.22,0.26,OSH,Arid,OSH,Arid
US-xNQ,US-xST,-0.13,0.87,OSH,Arid,DBF,Cold
US-xNQ,US-xTA,-1.93,0.31,OSH,Arid,ENF,Temperate
US-xNQ,US-xTL,-6.67,0.01,OSH,Arid,WET,Cold
US-xNQ,US-xTR,-0.74,0.49,OSH,Arid,DBF,Cold
US-xNQ,US-xUK,-0.93,0.5,OSH,Arid,DBF,Cold
US-xNQ,US-xUN,-0.84,0.38,OSH,Arid,MF,Cold
US-xNQ,US-xWD,-0.91,0.34,OSH,Arid,GRA,Cold
US-xNQ,US-xWR,-2.19,0.02,OSH,Arid,ENF,Cold
US-xNQ,US-xYE,-1.38,0.43,OSH,Arid,ENF,Cold
US-xNW,US-xAB,-0.93,0.12,ENF,Cold,ENF,Temperate
US-xNW,US-xAE,0.28,0.37,ENF,Cold,GRA,Temperate
US-xNW,US-xBL,-0.92,0.27,ENF,Cold,DBF,Cold
US-xNW,US-xBN,-0.21,0.35,ENF,Cold,ENF,Cold
US-xNW,US-xBR,-0.3,0.43,ENF,Cold,DBF,Cold
US-xNW,US-xCL,-0.32,0.25,ENF,Cold,GRA,Temperate
US-xNW,US-xCP,-0.65,0.08,ENF,Cold,GRA,Arid
