training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xDC,US-xAB,-0.1,0.48,GRA,Cold,ENF,Temperate
US-xDC,US-xAE,-6.85,0.42,GRA,Cold,GRA,Temperate
US-xDC,US-xBL,0.11,0.47,GRA,Cold,DBF,Cold
US-xDC,US-xBN,-0.27,0.37,GRA,Cold,ENF,Cold
US-xDC,US-xBR,0.5,0.63,GRA,Cold,DBF,Cold
US-xDC,US-xCL,-1.99,0.58,GRA,Cold,GRA,Temperate
US-xDC,US-xCP,-5.9,0.36,GRA,Cold,GRA,Arid
US-xDC,US-xDC,0.9,0.9,GRA,Cold,GRA,Cold
US-xDC,US-xDJ,-0.05,0.51,GRA,Cold,ENF,Cold
US-xDC,US-xDL,-0.3,0.05,GRA,Cold,MF,Temperate
US-xDC,US-xDS,-16.69,0.01,GRA,Cold,CVM,Temperate
US-xDC,US-xGR,0.69,0.69,GRA,Cold,DBF,Temperate
US-xDC,US-xHA,-2.4,0.15,GRA,Cold,DBF,Cold
US-xDC,US-xHE,-0.27,0.27,GRA,Cold,OSH,Cold
US-xDC,US-xJE,-1.55,0.01,GRA,Cold,ENF,Temperate
US-xDC,US-xJR,-1051.01,0.0,GRA,Cold,OSH,Arid
US-xDC,US-xKA,-3.2,0.45,GRA,Cold,GRA,Cold
US-xDC,US-xKZ,-0.02,0.41,GRA,Cold,GRA,Cold
US-xDC,US-xMB,-51.57,0.04,GRA,Cold,OSH,Arid
US-xDC,US-xML,0.66,0.68,GRA,Cold,DBF,Cold
US-xDC,US-xNG,0.67,0.7,GRA,Cold,GRA,Cold
US-xDC,US-xNQ,-35.99,0.2,GRA,Cold,OSH,Arid
US-xDC,US-xNW,0.03,0.31,GRA,Cold,ENF,Cold
US-xDC,US-xRM,-0.03,0.41,GRA,Cold,ENF,Cold
US-xDC,US-xRN,0.05,0.36,GRA,Cold,DBF,Temperate
US-xDC,US-xSB,-2.83,0.0,GRA,Cold,ENF,Temperate
US-xDC,US-xSC,-0.23,0.72,GRA,Cold,DBF,Cold
US-xDC,US-xSE,-0.29,0.63,GRA,Cold,DBF,Temperate
US-xDC,US-xSJ,-0.08,0.09,GRA,Cold,SAV,Temperate
US-xDC,US-xSL,-34.71,0.6,GRA,Cold,CRO,Arid
US-xDC,US-xSR,-10.45,0.08,GRA,Cold,OSH,Arid
US-xDC,US-xST,0.91,0.93,GRA,Cold,DBF,Cold
US-xDC,US-xTA,0.07,0.23,GRA,Cold,ENF,Temperate
US-xDC,US-xTL,-0.4,0.51,GRA,Cold,WET,Cold
US-xDC,US-xTR,0.69,0.72,GRA,Cold,DBF,Cold
US-xDC,US-xUK,0.64,0.66,GRA,Cold,DBF,Cold
US-xDC,US-xUN,0.72,0.79,GRA,Cold,MF,Cold
US-xDC,US-xWD,0.12,0.59,GRA,Cold,GRA,Cold
US-xDC,US-xWR,-0.47,0.44,GRA,Cold,ENF,Cold
US-xDC,US-xYE,0.58,0.76,GRA,Cold,ENF,Cold
US-xDJ,US-xAB,0.44,0.56,ENF,Cold,ENF,Temperate
US-xDJ,US-xAE,-10.05,0.46,ENF,Cold,GRA,Temperate
US-xDJ,US-xBL,0.7,0.71,ENF,Cold,DBF,Cold
US-xDJ,US-xBN,0.27,0.43,ENF,Cold,ENF,Cold
US-xDJ,US-xBR,0.68,0.73,ENF,Cold,DBF,Cold
US-xDJ,US-xCL,-1.58,0.32,ENF,Cold,GRA,Temperate
US-xDJ,US-xCP,-13.16,0.3,ENF,Cold,GRA,Arid
US-xDJ,US-xDC,0.69,0.71,ENF,Cold,GRA,Cold
US-xDJ,US-xDJ,0.87,0.87,ENF,Cold,ENF,Cold
US-xDJ,US-xDL,0.36,0.68,ENF,Cold,MF,Temperate
US-xDJ,US-xDS,-3.26,0.49,ENF,Cold,CVM,Temperate
US-xDJ,US-xGR,0.19,0.57,ENF,Cold,DBF,Temperate
US-xDJ,US-xHA,-7.19,0.3,ENF,Cold,DBF,Cold
US-xDJ,US-xHE,-1.32,0.49,ENF,Cold,OSH,Cold
US-xDJ,US-xJE,0.46,0.54,ENF,Cold,ENF,Temperate
US-xDJ,US-xJR,-3230.02,0.0,ENF,Cold,OSH,Arid
US-xDJ,US-xKA,-0.84,0.57,ENF,Cold,GRA,Cold
US-xDJ,US-xKZ,0.43,0.67,ENF,Cold,GRA,Cold
US-xDJ,US-xMB,-180.18,0.24,ENF,Cold,OSH,Arid
US-xDJ,US-xML,0.6,0.67,ENF,Cold,DBF,Cold
US-xDJ,US-xNG,0.41,0.64,ENF,Cold,GRA,Cold
US-xDJ,US-xNQ,-86.87,0.18,ENF,Cold,OSH,Arid
US-xDJ,US-xNW,-0.39,0.57,ENF,Cold,ENF,Cold
US-xDJ,US-xRM,0.68,0.69,ENF,Cold,ENF,Cold
US-xDJ,US-xRN,0.33,0.4,ENF,Cold,DBF,Temperate
US-xDJ,US-xSB,-0.36,0.72,ENF,Cold,ENF,Temperate
US-xDJ,US-xSC,0.4,0.57,ENF,Cold,DBF,Cold
US-xDJ,US-xSE,0.51,0.58,ENF,Cold,DBF,Temperate
US-xDJ,US-xSJ,-3.89,0.13,ENF,Cold,SAV,Temperate
US-xDJ,US-xSL,-14.04,0.58,ENF,Cold,CRO,Arid
US-xDJ,US-xSR,-52.65,0.16,ENF,Cold,OSH,Arid
US-xDJ,US-xST,0.86,0.89,ENF,Cold,DBF,Cold
US-xDJ,US-xTA,0.44,0.55,ENF,Cold,ENF,Temperate
US-xDJ,US-xTL,0.42,0.65,ENF,Cold,WET,Cold
US-xDJ,US-xTR,0.64,0.71,ENF,Cold,DBF,Cold
US-xDJ,US-xUK,0.66,0.73,ENF,Cold,DBF,Cold
US-xDJ,US-xUN,0.87,0.88,ENF,Cold,MF,Cold
US-xDJ,US-xWD,0.38,0.62,ENF,Cold,GRA,Cold
US-xDJ,US-xWR,0.2,0.64,ENF,Cold,ENF,Cold
US-xDJ,US-xYE,0.71,0.72,ENF,Cold,ENF,Cold
US-xDL,US-xAB,-0.3,0.41,MF,Temperate,ENF,Temperate
US-xDL,US-xAE,-3.6,0.57,MF,Temperate,GRA,Temperate
US-xDL,US-xBL,0.46,0.68,MF,Temperate,DBF,Cold
US-xDL,US-xBN,0.18,0.22,MF,Temperate,ENF,Cold
US-xDL,US-xBR,0.24,0.58,MF,Temperate,DBF,Cold
US-xDL,US-xCL,-0.72,0.46,MF,Temperate,GRA,Temperate
US-xDL,US-xCP,-5.68,0.42,MF,Temperate,GRA,Arid
US-xDL,US-xDC,0.54,0.64,MF,Temperate,GRA,Cold
